state,city,hospital_name,alt_name1,alt_name2,alt_name3,alt_name4,alt_name5,hospital_type,url,current_status,building_style,architecture_style,final_year_opened,final_year_closed,final_hospital_age,final_number_of_beds,final_number_of_patients,incomplete_page_flag,kirkbride_flag,hand_check_flag
Arkansas,,Creating Carroll County Poor House,,,,,,County Institutions,https://www.asylumprojects.org/index.php?title=Carroll_County_Poor_House&action=edit&redlink=1,,,,,,,,,1,0,1
Arkansas,,Creating Clay County Poor House,,,,,,County Institutions,https://www.asylumprojects.org/index.php?title=Clay_County_Poor_House&action=edit&redlink=1,,,,,,,,,1,0,1
Arkansas,,Creating Cleburne County Poor Farm,,,,,,County Institutions,https://www.asylumprojects.org/index.php?title=Cleburne_County_Poor_Farm&action=edit&redlink=1,,,,,,,,,1,0,1
Arkansas,,Creating Independence County Poor Farm,,,,,,County Institutions,https://www.asylumprojects.org/index.php?title=Independence_County_Poor_Farm&action=edit&redlink=1,,,,,,,,,1,0,1
Arkansas,,Creating Jackson County Poorhouse,,,,,,County Institutions,https://www.asylumprojects.org/index.php?title=Jackson_County_Poorhouse&action=edit&redlink=1,,,,,,,,,1,0,1
Arkansas,,Creating Pope County Poor Farm,,,,,,County Institutions,https://www.asylumprojects.org/index.php?title=Pope_County_Poor_Farm&action=edit&redlink=1,,,,,,,,,1,0,1
Arkansas,,Creating Pope County Poor Farm,,,,,,County Asylums,https://www.asylumprojects.org/index.php?title=Pope_County_Poor_Farm&action=edit&redlink=1,,,,,,,,,1,0,1
Vermont,Waterbury,Vermont State Hospital,Waterbury Asylum,Vermont State Asylum for the Insane,Vermont State Asylum,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Vermont_State_Hospital,Preserved,Pavilion Plan,,1891.0,,,,1728.0,0,0,0
Vermont,Brandon,Brandon Training School,Vermont State School for Feeble Minded Children,Brandon School for the Feeble-Minded,Brandon State School,,,State Schools,https://www.asylumprojects.org/index.php?title=Brandon_Training_School,Closed,Cottage Plan,Colonial Revival,1915.0,1993.0,78.0,,,0,0,0
Vermont,Brattleboro,Brattleboro Retreat,Vermont Asylum for the Insane,Vermont Asylum,,,,Private Institutions,https://www.asylumprojects.org/index.php?title=Brattleboro_Retreat,Active,Pre-1854 Plans,,1834.0,,,,,0,0,0
Vermont,Vergennes,Vermont Industrial School,Vermont Reform School,Weeks School,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=Vermont_Industrial_School,Closed,Cottage Plan,,1874.0,1979.0,105.0,,,0,0,0
Vermont,Pittsford,Vermont State Sanatorium,,,,,,Sanatoriums,https://www.asylumprojects.org/index.php?title=Vermont_State_Sanatorium,Preserved,Cottage Plan,,1921.0,1967.0,46.0,,,0,0,0
Vermont,Barre,Washington County Hospital,Washington County Sanitarium,Washington County Mental Health,,,,Sanatoriums,https://www.asylumprojects.org/index.php?title=Washington_County_Hospital,Preserved,Single Building,,1921.0,1968.0,47.0,,,0,0,0
Nebraska,Genoa,Genoa State Hospital,Genoa Indian Industrial School,Genoa State Farm,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Genoa_State_Hospital,Demolished,Cottage Plan,,1936.0,1951.0,15.0,,,0,0,0
Nebraska,Hastings,Hastings State Hospital Nebraska,Asylum for the Incurable Insane (1889-1894),Asylum for the Chronic Insane (1895-1904),Nebraska State Hospital (1905-1914),Ingleside Hospital for the Insane (1915-1921),Hastings State Hospital (1921-1970),State Hospitals,https://www.asylumprojects.org/index.php?title=Hastings_State_Hospital_Nebraska,Demolished,Cottage Plan,,1889.0,1987.0,98.0,,4115.0,0,0,0
Nebraska,Lincoln,Lincoln State Hospital,Nebraska Hospital for the Insane,Nebraska State Hospital,Lincoln Regional Center (Current),,,State Hospitals,https://www.asylumprojects.org/index.php?title=Lincoln_State_Hospital,Active,Cottage Plan,,1870.0,,,,1750.0,0,0,0
Nebraska,Omaha,Nebraska Psychiatric Institute,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Nebraska_Psychiatric_Institute,Active,Single Building,,1955.0,,,92.0,,0,0,0
Nebraska,Norfolk,Norfolk State Hospital,Insane Asylum in Norfolk,Nebraska State Hospital,Norfolk Hospital for the Insane,Norfolk Regional Center (Current),,State Hospitals,https://www.asylumprojects.org/index.php?title=Norfolk_State_Hospital,Active,Cottage Plan,,1888.0,,,120.0,,0,0,0
Nebraska,North Platte,North Platte Psychiatric Clinic,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=North_Platte_Psychiatric_Clinic,Active,Single Building,,1959.0,,,,,0,0,0
Nebraska,,Creating Panhandle Mental Health Center,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Panhandle_Mental_Health_Center&action=edit&redlink=1,,,,,,,,,1,0,1
Nebraska,Kearney,Boys Training School Kearney,Nebraska State Reform School for Juvenile Offenders,Youth Rehabilitation and Treatment Center-Kearney (Current),,,,State School,https://www.asylumprojects.org/index.php?title=Boys_Training_School_Kearney,Active,Cottage Plan,,1881.0,,,,,0,0,0
Nebraska,Geneva,Girls Training School Geneva,Girls Industrial School,Youth Development Center-Geneva,Youth Rehabilitation & Treatment Center-Geneva (Current),,,State School,https://www.asylumprojects.org/index.php?title=Girls_Training_School_Geneva,Active,Cottage Plan,,1892.0,,,,,0,0,0
Nebraska,,Creating Nebraska Industrial Home,,,,,,State School,https://www.asylumprojects.org/index.php?title=Nebraska_Industrial_Home&action=edit&redlink=1,,,,,,,,,1,0,1
Nebraska,Beatrice,Nebraska Institution for Feeble-minded Youth,Institution for Feeble Minded Youth Farm,Beatrice State Home,Beatrice State Developmental Center,,,State School,https://www.asylumprojects.org/index.php?title=Nebraska_Institution_for_Feeble-minded_Youth,Active,Cottage Plan,,1887.0,,,,4348.0,0,0,0
Nebraska,Genoa,Genoa State Hospital,Genoa Indian Industrial School,Genoa State Farm,,,,Federal Government Institutions,https://www.asylumprojects.org/index.php?title=Genoa_Indian_Training_School,Demolished,Cottage Plan,,1936.0,1951.0,15.0,,,0,0,0
Nebraska,Axtell,Bethphage Mission at Axtell,Bethphage Village (current),,,,,Private Institutions,https://www.asylumprojects.org/index.php?title=Bethphage_Mission_at_Axtell,Active,Single Building,,1914.0,,,,,0,0,0
Nebraska,,Creating Dr Bailey Sanatorium,,,,,,Private Institutions,https://www.asylumprojects.org/index.php?title=Dr_Bailey_Sanatorium&action=edit&redlink=1,,,,,,,,,1,0,1
Nebraska,Sterling,Martin Luther Home,,,,,,Private Institutions,https://www.asylumprojects.org/index.php?title=Martin_Luther_Home,Active,Single Building,,1925.0,,,,,0,0,0
Nebraska,Kearney,Nebraska Hospital for Tuberculosis,Kearney State Tubercular Hospital,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Nebraska_Hospital_for_Tuberculosis,Preserved,Single Building,,1912.0,1972.0,60.0,,,0,0,0
Nebraska,Hastings,Nebraska Sanitarium at Hastings,Hastings Sanitarium,Nebraska Sanitarium,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Nebraska_Sanitarium_at_Hastings,Demolished,Single Building,,1907.0,1920.0,13.0,,2500.0,0,0,0
Nebraska,Lincoln,Lincoln Sanitarium,Everett Sanitarium,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Lincoln_Sanitarium,Demolished,Single Building,,1908.0,1928.0,20.0,,,0,0,0
Louisiana,Pineville,Central Louisiana State Hospital,Louisiana Hospital for the Insane,Insane Asylum at Alexandria,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Central_Louisiana_State_Hospital,Active,Cottage Plan,,1906.0,,,,3000.0,0,0,0
Louisiana,Jackson,East Louisiana State Hospital,East Louisiana State Hospital for the Insane,Jackson State Hospital,Eastern Louisiana Mental Health System,,,State Hospitals,https://www.asylumprojects.org/index.php?title=East_Louisiana_State_Hospital,Active,Pre-1854 Plans,Greek Revival,1848.0,,,,700.0,0,0,0
Louisiana,,Creating Fairview Treatment Center,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Fairview_Treatment_Center&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,,Creating Feliciana Forensic Facility,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Feliciana_Forensic_Facility&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,New Orleans,New Orleans Adolescent Hospital,Sedgewich Military Hospital,United States Marine Hospital of New Orleans,Public Health and Marine Hospital Service,United States Public Health Service Hospital,State Drug Addiction Center,State Hospitals,https://www.asylumprojects.org/index.php?title=New_Orleans_Adolescent_Hospital,Closed,,,1883.0,2009.0,126.0,,,0,0,0
Louisiana,,Creating River Oaks Psychiatric Center,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=River_Oaks_Psychiatric_Center&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,Mandeville,Southeast Louisiana State Hospital,Northlake Behavioral Health System (Current),,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Southeast_Louisiana_State_Hospital,Active,Cottage Plan,,1952.0,,,2700.0,,0,0,0
Louisiana,,Creating Belle Chasse State School,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Belle_Chasse_State_School&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,,Creating Columbia State School,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Columbia_State_School&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,Hammond,Hammond State School,South Louisiana Training School,Hammond Developmental Center,North Lake Supports and Services Center (Current),,,State Schools,https://www.asylumprojects.org/index.php?title=Hammond_State_School,Active,Cottage Plan,,1961.0,,,,,0,0,0
Louisiana,Leesville,Leesville State School,Leesville Residential & Employment Services Center,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Leesville_State_School,Closed,Single Building,,1964.0,,,96.0,,0,0,0
Louisiana,Pineville,Louisiana State Colony & Training School,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Louisiana_State_Colony_%26_Training_School,Demolished,Cottage Plan,,1921.0,,,,,0,0,0
Louisiana,,Creating Northwest Louisiana State School,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Northwest_Louisiana_State_School&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,,Creating Pinecrest State School,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Pinecrest_State_School&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,Ruston,Ruston State School,Ruston Developmental Center,Northeast Support and Services Center,,,,State Schools,https://www.asylumprojects.org/index.php?title=Ruston_State_School,Closed,Cottage Plan,,1958.0,2010.0,52.0,,4000.0,0,0,0
Louisiana,,Creating Southwest Louisiana State School,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Southwest_Louisiana_State_School&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,,Creating Thibodaux State School,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Thibodaux_State_School&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,New Orleans,City Hospital for Mental Diseases,,,,,,County Institutions,https://www.asylumprojects.org/index.php?title=City_Hospital_for_Mental_Diseases,Demolished,Single Building,,1911.0,,,,,0,0,0
Louisiana,New Orleans,New Orleans Insane Asylum,,,,,,County Institutions,https://www.asylumprojects.org/index.php?title=New_Orleans_Insane_Asylum,Demolished,Single Building,,1857.0,1883.0,26.0,,,0,0,0
Louisiana,New Orleans,De Paul Sanitarium,The Louisiana Retreat for the Feeble Minded,The Louisiana Retreat,,,,Private Institutions,https://www.asylumprojects.org/index.php?title=De_Paul_Sanitarium,Demolished Partially,Single Building,,1876.0,,,,,0,0,0
Louisiana,,Creating Luzenberg Hospital,,,,,,Private Institutions,https://www.asylumprojects.org/index.php?title=Luzenberg_Hospital&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,Monroe,Louisiana Training Institute,Swanson Center for Youth,,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=Louisiana_Training_Institute,Active,Cottage Plan,,1904.0,,,,,0,0,0
Louisiana,Ball,State Industrial School for Girls,,,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=State_Industrial_School_for_Girls,Closed,,,1926.0,1989.0,63.0,,,0,0,0
Louisiana,Scotlandville,State Industrial School for Colored Youth,Louisiana Training Institution,Louis Jetson Correctional Center for Youth,Louis Jetson Center for Youth (Current),,,Reform Schools,https://www.asylumprojects.org/index.php?title=State_Industrial_School_for_Colored_Youth,Active,Single Building,,1948.0,,,,,0,0,0
Louisiana,,Creating Comeaux Sanitarium,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Comeaux_Sanitarium&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,Pine Top,G. B. Cooley Tuberculosis Sanatorium,G.B. Cooley Hospital,G.B. Cooley Services for Persons with Developmental Needs,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=G._B._Cooley_Tuberculosis_Sanatorium,Active,Single Building,,1937.0,,,,,0,0,0
Louisiana,New Orleans,John Dibert Tuberculosis Hospital,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=John_Dibert_Tuberculosis_Hospital,Closed,Single Building,,1936.0,,,250.0,250.0,0,0,0
Louisiana,Covington,Fenwick Sanitarium,Palms Hospital,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Fenwick_Sanitarium,Closed,Single Building,,1899.0,1965.0,66.0,,40.0,0,0,0
Louisiana,,Creating Orleans Tuberculosis Hospital,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Orleans_Tuberculosis_Hospital&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,,Creating St. Francis Sanitarium,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=St._Francis_Sanitarium&action=edit&redlink=1,,,,,,,,,1,0,1
Louisiana,,Creating The Pines Sanitarium,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=The_Pines_Sanitarium&action=edit&redlink=1,,,,,,,,,1,0,1
South Carolina,,Creating Anderson-Oconee-Pickens Mental Health Center,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Anderson-Oconee-Pickens_Mental_Health_Center&action=edit&redlink=1,,,,,,,,,1,0,1
South Carolina,Columbia,G. Werber Bryan Psychiatric Hospital,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=G._Werber_Bryan_Psychiatric_Hospital,Active,Cottage Plan,,1978.0,,,,,0,0,0
South Carolina,Columbia,Gilliam Psychiatric Hospital,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Gilliam_Psychiatric_Hospital,Active,Cottage Plan,,1984.0,,,87.0,,0,0,0
South Carolina,,Palmetto State Hospital,Crafts-Farrow State Hospital,Manning Correctional Institution (Current),,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Palmetto_State_Hospital,Active,Cottage Plan,,1913.0,1996.0,83.0,,,0,0,0
South Carolina,Anderson,Patrick B. Harris Psychiatric Hospital,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Patrick_B._Harris_Psychiatric_Hospital,Active,Single Building,,1985.0,,,200.0,,0,0,0
South Carolina,,Creating Richland Springs Psychiatric Hospital,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Richland_Springs_Psychiatric_Hospital&action=edit&redlink=1,,,,,,,,,1,0,1
South Carolina,Columbia,South Carolina State Hospital,South Carolina Lunatic Asylum,Columbia State Hospital,Columbia Area Mental Health Center,,,State Hospitals,https://www.asylumprojects.org/index.php?title=South_Carolina_State_Hospital,Closed,Pre-1854 Plans & Kirkbride Plan,,1828.0,2015.0,187.0,410.0,13422.0,0,1,0
South Carolina,Columbia,William S. Hall Psychiatric Institute,Hall Institute,William S. Hall Child and Adolescent Services at Bryan Psychiatric Hospital (Current),,,,State Hospitals,https://www.asylumprojects.org/index.php?title=William_S._Hall_Psychiatric_Institute,Demolished,Single Building,,1964.0,,,37.0,,0,0,0
South Carolina,Columbia,Pineland State Training School and Hospital,Midlands Center,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Pineland_State_Training_School_and_Hospital,Active,Cottage Plan,,1953.0,,,,,0,0,0
South Carolina,Clinton,Whitten Village,State Training School for the Feeble-minded,Whitten Center,,,,State Schools,https://www.asylumprojects.org/index.php?title=Whitten_Village,Active,Cottage Plan,,1920.0,,,,2500.0,0,0,0
South Carolina,Florence,South Carolina Industrial School for Boys,Pee Dee Regional Center,,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=South_Carolina_Industrial_School_for_Boys,Closed,Cottage Plan,,1907.0,2024.0,117.0,,,0,0,0
South Carolina,,Creating South Carolina Industrial School for Girls,,,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=South_Carolina_Industrial_School_for_Girls&action=edit&redlink=1,,,,,,,,,1,0,1
South Carolina,Columbia,South Carolina Reformatory for Negro Boys,John G Richards Industrial School for Negro Boys,,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=South_Carolina_Reformatory_for_Negro_Boys,Active,Cottage Plan,,1907.0,,,,,0,0,0
South Carolina,,Creating Waverley Sanitarium,,,,,,Private Institutions,https://www.asylumprojects.org/index.php?title=Waverley_Sanitarium&action=edit&redlink=1,,,,,,,,,1,0,1
South Carolina,,Creating Waccamaw Mental Health Center,,,,,,County Institutions,https://www.asylumprojects.org/index.php?title=Waccamaw_Mental_Health_Center&action=edit&redlink=1,,,,,,,,,1,0,1
South Carolina,,Creating Greenville Sanitarium,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Greenville_Sanitarium&action=edit&redlink=1,,,,,,,,,1,0,1
South Carolina,Columbia,South Carolina State Sanatorium,Palmetto Sanatorium,State Park Health Center,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=South_Carolina_State_Sanatorium,Closed,Cottage Plan,,1915.0,1983.0,68.0,550.0,550.0,0,0,0
South Carolina,,Creating Waverly Sanitarium,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Waverly_Sanitarium&action=edit&redlink=1,,,,,,,,,1,0,1
Alabama,Tuscaloosa,Bryce Hospital,"Alabama Insane Hospital,","Bryce Hospital for the Insane,",Tuscaloosa State Hospital,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Bryce_Hospital,Preserved,Kirkbride Plan,,1861.0,,,,5200.0,0,1,0
Alabama,Selma,Cahaba Regional Mental Health Center,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Cahaba_Regional_Mental_Health_Center,Active,Single Building,,1973.0,,,,,0,0,0
Alabama,Montgomery,Greil Memorial Psychiatric Hospital,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Greil_Memorial_Psychiatric_Hospital,Closed,Single Building,,,2012.0,,,,0,0,0
Alabama,Northport,Jemison Center,"The Mental Hospital for African Americans,","State Farm Colony for Negroes,",Alabama State Hospital for the Negro Insane,Old Bryce Hospital,,State Hospitals,https://www.asylumprojects.org/index.php?title=Jemison_Center,Closed,Single Building Plan,,,1977.0,,,206.0,0,0,0
Alabama,Tuscaloosa,Mary Starke Harper Geriatric Psychiatry Center,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Mary_Starke_Harper_Geriatric_Psychiatry_Center,Active,Single Building,,1996.0,,,,,0,0,0
Alabama,Mobile,Mobile Mental Health Center,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Mobile_Mental_Health_Center,Active,Single Building,,1957.0,,,,,0,0,0
Alabama,Mt. Vernon,Mt. Vernon Insane Hospital,Mount Vernon Hospital for the Colored Insane,Searcy State Hospital,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Mt._Vernon_Insane_Hospital,Closed,Cottage Plan,,1902.0,2012.0,110.0,532.0,400.0,0,0,0
Alabama,Tuscaloosa,Taylor Hardin Secure Medical Facility,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Taylor_Hardin_Secure_Medical_Facility,Active,Single Building,,1981.0,,,,,0,0,0
Alabama,Mobile,Albert P Brewer Development Center,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Albert_P_Brewer_Development_Center,Demolished,Cottage Plan,,1973.0,2001.0,28.0,,,0,0,0
Alabama,Wetumpka,J.S. Tarwater Developmental Center,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=J.S._Tarwater_Developmental_Center,Closed,Cottage Plan,,1976.0,2004.0,28.0,,,0,0,0
Alabama,Decatur,Lurleen Wallace Developmental Center,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Lurleen_Wallace_Developmental_Center,Closed,Cottage Plan,,1971.0,2003.0,32.0,,,0,0,0
Alabama,Tuscaloosa,Partlow State School,Alabama Home for Mental Defectives,Partlow Developmental Center,,,,State Schools,https://www.asylumprojects.org/index.php?title=Partlow_State_School,Closed,Cottage Plan,,1923.0,2011.0,88.0,,400.0,0,0,0
Alabama,,Creating Glen Ireland Developmental Center,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Glen_Ireland_Developmental_Center&action=edit&redlink=1,,,,,,,,,1,0,1
Alabama,Roebuck,Alabama Boys' Industrial School,Birmingham Boys Industrial School,,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=Alabama_Boys%27_Industrial_School,Active,Cottage Plan,,1911.0,,,,383.0,0,0,0
Alabama,Mount Meigs,Alabama Industrial School for Negro Children,Alabama Reform School for Juvenile Negro Law-Breakers,Alabama Industrial School,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=Alabama_Industrial_School_for_Negro_Children,Active,Cottage Plan,,1911.0,,,,,0,0,0
Alabama,Chalkville,Alabama State Training School for Girls,"Department of Youth Services, Chalkville Campus",,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=Alabama_State_Training_School_for_Girls,Closed,Cottage Plan,,1909.0,2012.0,103.0,,18.0,0,0,0
Alabama,North Fork Town,Asbury Manual Labor School,,,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=Asbury_Manual_Labor_School,,Cottage Plan,,1849.0,1887.0,38.0,,100.0,0,0,0
Alabama,North Fork Town,Asbury Manual Labor School,,,,,,Native American Boarding Schools,https://www.asylumprojects.org/index.php?title=Asbury_Manual_Labor_School,,Cottage Plan,,1849.0,1887.0,38.0,,100.0,0,0,0
Alabama,Gadsden,Mountain View Hospital,Madru Inzer Memorial Hospital,Etowah County Tuberculosis Sanitarium,District IV Tuberculosis Hospital,Mountain View Tuberculosis Hospital,,Private Institutions,https://www.asylumprojects.org/index.php?title=Mountain_View_Hospital,Active,Single Building,,1926.0,,,68.0,145.0,0,0,0
Alabama,,Batson Memorial Sanitarium,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Batson_Memorial_Sanitarium,Active,Single Building,,,,,,,0,0,1
Alabama,,Creating Belle Aire Sanitarium,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Belle_Aire_Sanitarium&action=edit&redlink=1,,,,,,,,,1,0,1
Alabama,Decatur,District One Sanatorium,North Alabama Regional Hospital,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=District_One_Sanatorium,Closed,Single Building,,1910.0,2015.0,105.0,,,0,0,0
Alabama,Gadsden,Mountain View Hospital,Madru Inzer Memorial Hospital,Etowah County Tuberculosis Sanitarium,District IV Tuberculosis Hospital,Mountain View Tuberculosis Hospital,,Sanitariums,https://www.asylumprojects.org/index.php?title=District_Four_Sanatorium,Active,Single Building,,1926.0,,,68.0,145.0,0,0,0
Alabama,,Creating El Reposo Sanatorium,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=El_Reposo_Sanatorium&action=edit&redlink=1,,,,,,,,,1,0,1
Alabama,Gadsden,Mountain View Hospital,Madru Inzer Memorial Hospital,Etowah County Tuberculosis Sanitarium,District IV Tuberculosis Hospital,Mountain View Tuberculosis Hospital,,Sanitariums,https://www.asylumprojects.org/index.php?title=Etowah_County_Tuberculosis_Sanitarium,Active,Single Building,,1926.0,,,68.0,145.0,0,0,0
Alabama,,Creating Hill Crest Sanitarium,,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Hill_Crest_Sanitarium&action=edit&redlink=1,,,,,,,,,1,0,1
Alabama,Birmingham,Jefferson Tuberculosis Sanatorium,Lakeshore Hospital,Lakeshore Rehabilitation Hospital,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Jefferson_Tuberculosis_Sanatorium,Active,Single Building,,1910.0,1973.0,63.0,,78.0,0,0,0
